Domain:,.net,,,,,
Host,192.168.1.2,Map_ip,Domain anme,Configuration,Nameserver IP,Description
server1,API Gateway,192.168.119.130,cn310.info,Host file,,
server2,Cache,10.0.0.249,mysite2.net,Host file,,
server3,Web,192.168.119.131,cn320.info,Host file,,
server4,Web,10.0.0.139,mysite4.net,Host file,,
server5,Database,123.245.567.890,face.net,Host file,,
server6,google,142.250.190.78,google.com,Nameserver,172.20.13.254,
server7,cloudflare,104.16.132.229,cloudflare.com,Nameserver,172.20.13.254,
server8,opendns,67.215.70.40,opendns.com,Nameserver,172.20.13.254,
server9,Web,10.0.0.104,mysite9.net,Nameserver,172.20.13.254,
server10,Web,10.0.0.16,mysite10.net,Nameserver,173.20.13.254,
